Service;Project;Namespace;ClassName;ClassId;FilePath;LOC;NOM;NOF;WMC;RFC;CBO;Cyclomatic;LayerViolations;CycleInvolvement;FanIn;FanOut;Instability;R_size;R_complexity;R_coupling;R_architecture;CQS;Decision;PrimaryCause;RecommendedAction
Shared;Application;Application.Features.Products.Commands.ActivateProduct;ActivateProductCommand;Application:Application.Features.Products.Commands.ActivateProduct.ActivateProductCommand;Application/Features/Products/Commands/ActivateProduct/ActivateProductCommand.cs;4.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.39;0.45;0.50;57.94;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Commands.ActivateProduct;DeleteProductCommandHandler;Application:Application.Features.Products.Commands.ActivateProduct.DeleteProductCommandHandler;Application/Features/Products/Commands/ActivateProduct/ActivateProductCommand.cs;24.00;1.00;2.00;1.00;2.00;3.00;3.00;0.00;0.00;0.00;0.00;0.00;0.53;0.76;0.60;0.50;39.31;WATCH;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Products.Commands.CreateProduct;CreateProductCommand;Application:Application.Features.Products.Commands.CreateProduct.CreateProductCommand;Application/Features/Products/Commands/CreateProduct/CreateProductCommand.cs;12.00;0.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.58;0.39;0.45;0.50;52.93;OK;size;Split large classes, extract cohesive responsibilities, reduce method/field count.
Shared;Application;Application.Features.Products.Commands.CreateProduct;CreateProductCommandHandler;Application:Application.Features.Products.Commands.CreateProduct.CreateProductCommandHandler;Application/Features/Products/Commands/CreateProduct/CreateProductCommand.cs;38.00;1.00;4.00;1.00;6.00;8.00;3.00;0.00;0.00;0.00;0.00;0.00;0.69;0.76;0.66;0.50;33.93;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Products.Commands.DeactivateProduct;DeactivateProductCommand;Application:Application.Features.Products.Commands.DeactivateProduct.DeactivateProductCommand;Application/Features/Products/Commands/DeactivateProduct/DeactivateProductCommand.cs;4.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.39;0.45;0.50;57.94;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Commands.DeactivateProduct;DeleteProductCommandHandler;Application:Application.Features.Products.Commands.DeactivateProduct.DeleteProductCommandHandler;Application/Features/Products/Commands/DeactivateProduct/DeactivateProductCommand.cs;24.00;1.00;2.00;1.00;2.00;3.00;3.00;0.00;0.00;0.00;0.00;0.00;0.53;0.76;0.60;0.50;39.31;WATCH;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Products.Commands.UpdateProduct;UpdateProductCommand;Application:Application.Features.Products.Commands.UpdateProduct.UpdateProductCommand;Application/Features/Products/Commands/UpdateProduct/UpdateProductCommand.cs;12.00;0.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.58;0.39;0.45;0.50;52.93;OK;size;Split large classes, extract cohesive responsibilities, reduce method/field count.
Shared;Application;Application.Features.Products.Commands.UpdateProduct;UpdateProductCommandHandler;Application:Application.Features.Products.Commands.UpdateProduct.UpdateProductCommandHandler;Application/Features/Products/Commands/UpdateProduct/UpdateProductCommand.cs;50.00;1.00;3.00;1.00;8.00;6.00;5.00;0.00;0.00;0.00;0.00;0.00;0.68;0.81;0.66;0.50;33.23;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Products.Queries.GetAllProducts;GetAllProductsCategoryViewModel;Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsCategoryViewModel;Application/Features/Products/Queries/GetAllProducts/GetAllProductsCategoryViewModel.cs;5.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.39;0.39;0.45;0.50;56.77;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetAllProducts;GetAllProductsImageViewModel;Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsImageViewModel;Application/Features/Products/Queries/GetAllProducts/GetAllProductsImageViewModel.cs;4.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.39;0.45;0.50;57.94;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetAllProducts;GetAllProductsParameter;Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsParameter;Application/Features/Products/Queries/GetAllProducts/GetAllProductsParameter.cs;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.39;0.45;0.50;58.90;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetAllProducts;GetAllProductsQuery;Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsQuery;Application/Features/Products/Queries/GetAllProducts/GetAllProductsQuery.cs;5.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.39;0.39;0.45;0.50;56.77;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetAllProducts;GetAllProductsQueryHandler;Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsQueryHandler;Application/Features/Products/Queries/GetAllProducts/GetAllProductsQuery.cs;27.00;1.00;2.00;1.00;4.00;4.00;2.00;0.00;0.00;0.00;0.00;0.00;0.55;0.72;0.63;0.50;39.10;WATCH;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Products.Queries.GetAllProducts;GetAllProductsViewModel;Application:Application.Features.Products.Queries.GetAllProducts.GetAllProductsViewModel;Application/Features/Products/Queries/GetAllProducts/GetAllProductsViewModel.cs;14.00;0.00;11.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;2.00;1.00;0.60;0.39;0.89;0.50;37.19;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Products.Queries.GetProductById;GetProductByIdCategoryViewModel;Application:Application.Features.Products.Queries.GetProductById.GetProductByIdCategoryViewModel;Application/Features/Products/Queries/GetProductById/GetProductByIdCategoryViewModel.cs;5.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.39;0.39;0.45;0.50;56.77;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetProductById;GetProductByIdImageViewModel;Application:Application.Features.Products.Queries.GetProductById.GetProductByIdImageViewModel;Application/Features/Products/Queries/GetProductById/GetProductByIdImageViewModel.cs;4.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.39;0.45;0.50;57.94;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetProductById;GetProductByIdQuery;Application:Application.Features.Products.Queries.GetProductById.GetProductByIdQuery;Application/Features/Products/Queries/GetProductById/GetProductByIdQuery.cs;4.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.39;0.45;0.50;57.94;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetProductById;GetProductByIdQueryHandler;Application:Application.Features.Products.Queries.GetProductById.GetProductByIdQueryHandler;Application/Features/Products/Queries/GetProductById/GetProductByIdQuery.cs;20.00;1.00;2.00;1.00;2.00;3.00;2.00;0.00;0.00;0.00;0.00;0.00;0.51;0.72;0.60;0.50;40.77;WATCH;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Products.Queries.GetProductById;GetProductByIdViewModel;Application:Application.Features.Products.Queries.GetProductById.GetProductByIdViewModel;Application/Features/Products/Queries/GetProductById/GetProductByIdViewModel.cs;15.00;0.00;11.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;2.00;1.00;0.60;0.39;0.89;0.50;37.10;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Products.Queries.GetProductsBySearchFilter;GetProductsBySearchFilterParameter;Application:Application.Features.Products.Queries.GetProductsBySearchFilter.GetProductsBySearchFilterParameter;Application/Features/Products/Queries/GetProductsBySearchFilter/GetProductsBySearchFilterParameter.cs;4.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.39;0.45;0.50;57.94;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetProductsBySearchFilter;GetProductsBySearchFilterQuery;Application:Application.Features.Products.Queries.GetProductsBySearchFilter.GetProductsBySearchFilterQuery;Application/Features/Products/Queries/GetProductsBySearchFilter/GetProductsBySearchFilterQuery.cs;6.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.45;0.39;0.45;0.50;55.60;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Products.Queries.GetProductsBySearchFilter;GetProductsBySearchFilterQueryHandler;Application:Application.Features.Products.Queries.GetProductsBySearchFilter.GetProductsBySearchFilterQueryHandler;Application/Features/Products/Queries/GetProductsBySearchFilter/GetProductsBySearchFilterQuery.cs;27.00;1.00;2.00;1.00;4.00;3.00;2.00;0.00;0.00;0.00;0.00;0.00;0.55;0.72;0.60;0.50;40.14;WATCH;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Sellers.Commands.CreateSeller;CreateSellerCommand;Application:Application.Features.Sellers.Commands.CreateSeller.CreateSellerCommand;Application/Features/Sellers/Commands/CreateSeller/CreateSellerCommand.cs;23.00;0.00;8.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.63;0.39;0.83;0.50;38.35;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Commands.CreateSeller;CreateSellerCommandHandler;Application:Application.Features.Sellers.Commands.CreateSeller.CreateSellerCommandHandler;Application/Features/Sellers/Commands/CreateSeller/CreateSellerCommand.cs;32.00;1.00;3.00;1.00;4.00;5.00;2.00;0.00;0.00;0.00;1.00;1.00;0.62;0.72;0.98;0.50;25.30;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Commands.UpdateSeller;UpdateSellerCommand;Application:Application.Features.Sellers.Commands.UpdateSeller.UpdateSellerCommand;Application/Features/Sellers/Commands/UpdateSeller/UpdateSellerCommand.cs;17.00;0.00;6.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.59;0.39;0.83;0.50;39.21;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Commands.UpdateSeller;UpdateSellerCommandHandler;Application:Application.Features.Sellers.Commands.UpdateSeller.UpdateSellerCommandHandler;Application/Features/Sellers/Commands/UpdateSeller/UpdateSellerCommand.cs;34.00;1.00;4.00;1.00;3.00;6.00;2.00;0.00;0.00;0.00;1.00;1.00;0.67;0.72;0.99;0.50;23.92;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Queries.GetAllSellers;GetAllSellersParameter;Application:Application.Features.Sellers.Queries.GetAllSellers.GetAllSellersParameter;Application/Features/Sellers/Queries/GetAllSellers/GetAllSellersParameter.cs;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.39;0.45;0.50;58.90;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Sellers.Queries.GetAllSellers;GetAllSellersQuery;Application:Application.Features.Sellers.Queries.GetAllSellers.GetAllSellersQuery;Application/Features/Sellers/Queries/GetAllSellers/GetAllSellersQuery.cs;5.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.39;0.39;0.45;0.50;56.77;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Sellers.Queries.GetAllSellers;GetAllSellersQueryHandler;Application:Application.Features.Sellers.Queries.GetAllSellers.GetAllSellersQueryHandler;Application/Features/Sellers/Queries/GetAllSellers/GetAllSellersQuery.cs;28.00;1.00;2.00;1.00;4.00;4.00;2.00;0.00;0.00;0.00;0.00;0.00;0.55;0.72;0.63;0.50;39.01;WATCH;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Sellers.Queries.GetAllSellers;GetAllSellersViewModel;Application:Application.Features.Sellers.Queries.GetAllSellers.GetAllSellersViewModel;Application/Features/Sellers/Queries/GetAllSellers/GetAllSellersViewModel.cs;13.00;0.00;7.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.58;0.39;0.83;0.50;39.39;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Queries.GetSellerByIdentityId;GetSellerByIdentityIdQuery;Application:Application.Features.Sellers.Queries.GetSellerByIdentityId.GetSellerByIdentityIdQuery;Application/Features/Sellers/Queries/GetSellerByIdentityId/GetSellerByIdentityIdQuery.cs;4.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.39;0.45;0.50;57.94;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Sellers.Queries.GetSellerByIdentityId;GetSellerByIdentityIdQueryHandler;Application:Application.Features.Sellers.Queries.GetSellerByIdentityId.GetSellerByIdentityIdQueryHandler;Application/Features/Sellers/Queries/GetSellerByIdentityId/GetSellerByIdentityIdQuery.cs;29.00;1.00;3.00;1.00;3.00;4.00;3.00;0.00;0.00;0.00;1.00;1.00;0.61;0.76;0.96;0.50;25.08;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Queries.GetSellerByIdentityId;GetSellerByIdentityIdViewModel;Application:Application.Features.Sellers.Queries.GetSellerByIdentityId.GetSellerByIdentityIdViewModel;Application/Features/Sellers/Queries/GetSellerByIdentityId/GetSellerByIdentityIdViewModel.cs;11.00;0.00;8.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.58;0.39;0.83;0.50;39.46;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.Sellers.Queries.GetSellerProductsByIdentityId;GetSellerProductsByIdentityIdParameter;Application:Application.Features.Sellers.Queries.GetSellerProductsByIdentityId.GetSellerProductsByIdentityIdParameter;Application/Features/Sellers/Queries/GetSellerProductsByIdentityId/GetSellerProductsByIdentityIdParameter.cs;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.29;0.39;0.45;0.50;58.90;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Sellers.Queries.GetSellerProductsByIdentityId;GetSellerProductsByIdentityIdQuery;Application:Application.Features.Sellers.Queries.GetSellerProductsByIdentityId.GetSellerProductsByIdentityIdQuery;Application/Features/Sellers/Queries/GetSellerProductsByIdentityId/GetSellerProductsByIdentityIdQuery.cs;6.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.45;0.39;0.45;0.50;55.60;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.Sellers.Queries.GetSellerProductsByIdentityId;GetSellerProductsByIdentityIdQueryHandler;Application:Application.Features.Sellers.Queries.GetSellerProductsByIdentityId.GetSellerProductsByIdentityIdQueryHandler;Application/Features/Sellers/Queries/GetSellerProductsByIdentityId/GetSellerProductsByIdentityIdQuery.cs;34.00;1.00;3.00;1.00;5.00;4.00;3.00;0.00;0.00;0.00;0.00;0.00;0.63;0.76;0.63;0.50;36.35;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Features.Sellers.Queries.GetSellerProductsByIdentityId;GetSellerProductsByIdentityIdViewModel;Application:Application.Features.Sellers.Queries.GetSellerProductsByIdentityId.GetSellerProductsByIdentityIdViewModel;Application/Features/Sellers/Queries/GetSellerProductsByIdentityId/GetSellerProductsByIdentityIdViewModel.cs;11.00;0.00;8.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;1.00;0.58;0.39;0.83;0.50;39.46;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.SharedViewModels;AddressViewModel;Application:Application.Features.SharedViewModels.AddressViewModel;Application/Features/SharedViewModels/AddressViewModel.cs;7.00;0.00;4.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;0.00;0.00;0.50;0.39;0.45;0.50;54.64;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.SharedViewModels;CategoryViewModel;Application:Application.Features.SharedViewModels.CategoryViewModel;Application/Features/SharedViewModels/CategoryViewModel.cs;5.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.39;0.39;0.45;0.50;56.77;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.SharedViewModels;ImageViewModel;Application:Application.Features.SharedViewModels.ImageViewModel;Application/Features/SharedViewModels/ImageViewModel.cs;5.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.39;0.39;0.45;0.50;56.77;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Features.SharedViewModels;ProductViewModel;Application:Application.Features.SharedViewModels.ProductViewModel;Application/Features/SharedViewModels/ProductViewModel.cs;14.00;0.00;11.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;2.00;1.00;0.60;0.39;0.89;0.50;37.19;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Features.SharedViewModels;SellerViewModel;Application:Application.Features.SharedViewModels.SellerViewModel;Application/Features/SharedViewModels/SellerViewModel.cs;12.00;0.00;7.00;0.00;0.00;1.00;0.00;0.00;0.00;4.00;1.00;0.20;0.58;0.39;0.83;0.50;39.48;REFACTOR;coupling;"Reduce dependencies via DI + interfaces, facades, avoid reaching into many modules; extract smaller components."
Shared;Application;Application.Mappings;GeneralProfile;Application:Application.Mappings.GeneralProfile;Application/Mappings/GeneralProfile.cs;52.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.47;0.39;0.45;0.50;55.13;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application.Parameters;RequestParameter;Application:Application.Parameters.RequestParameter;Application/Parameters/RequestParameter.cs;15.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.44;0.39;0.45;0.50;55.87;OK;architecture;Fix layer violations (move code to correct layer), break cycles via interfaces/events, enforce boundaries.
Shared;Application;Application;ServiceExtensions;Application:Application.ServiceExtensions;Application/ServiceExtensions.cs;17.00;1.00;0.00;1.00;7.00;4.00;1.00;0.00;0.00;0.00;0.00;0.00;0.40;0.67;0.63;0.50;43.32;WATCH;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Services;AuthService;Application:Application.Services.AuthService;Application/Services/AuthService.cs;56.00;3.00;1.00;3.00;5.00;1.00;3.00;0.00;0.00;7.00;0.00;0.00;0.68;0.86;0.50;0.50;37.39;REFACTOR;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Services;PaymentService;Application:Application.Services.PaymentService;Application/Services/PaymentService.cs;82.00;1.00;0.00;1.00;8.00;2.00;8.00;0.00;0.00;1.00;0.00;0.00;0.56;0.83;0.55;0.50;38.64;WATCH;complexity;Decompose complex methods, reduce branching, introduce strategy/polymorphism where suitable.
Shared;Application;Application.Wrappers;PagedResponse;Application:Application.Wrappers.PagedResponse;Application/Wrappers/PagedResponse.cs;17.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.39;0.45;0.50;54.60;OK;size;Split large classes, extract cohesive responsibilities, reduce method/field count.
